Date,Country,City,Specie,count,min (ppb),max (ppb),median (ppb)
2/26/2017,CN,Shanghai,o3,216,3,65,34
2/26/2017,CN,Beijing,o3,419,1,127,15
2/26/2017,US,Jacksonville,o3,48,10,21,17
2/26/2017,US,Houston,o3,120,2,52,31
2/26/2017,US,Manhattan,o3,24,19,31,28
2/26/2017,US,Los Angeles,o3,24,2,39,31
2/27/2017,US,Jacksonville,o3,47,4,21,17
2/27/2017,CN,Beijing,o3,356,1,55,7
2/27/2017,CN,Wuhan,o3,358,0,62,14
2/27/2017,US,Manhattan,o3,24,3,20,17
2/27/2017,CN,Shanghai,o3,208,3,57,25
2/27/2017,US,Los Angeles,o3,24,14,32,22
2/27/2017,US,Houston,o3,119,3,45,23
2/28/2017,US,Jacksonville,o3,48,0,19,9
2/28/2017,US,Manhattan,o3,24,2,23,15
2/28/2017,CN,Wuhan,o3,388,0,59,24
2/28/2017,US,Los Angeles,o3,24,1,42,15
2/28/2017,US,Houston,o3,119,11,36,19
2/28/2017,CN,Shanghai,o3,216,2,57,35
2/28/2017,CN,Beijing,o3,426,1,56,23
3/1/2017,US,Houston,o3,103,3,41,22
3/1/2017,US,Manhattan,o3,24,6,33,16
3/1/2017,US,Los Angeles,o3,23,1,38,8
3/1/2017,CN,Wuhan,o3,375,0,52,32
3/1/2017,CN,Shanghai,o3,216,3,55,29
3/1/2017,US,Jacksonville,o3,48,4,18,9
3/1/2017,CN,Beijing,o3,450,2,52,33
3/2/2017,US,Manhattan,o3,24,28,37,33
3/2/2017,US,Jacksonville,o3,45,4,18,10
3/2/2017,CN,Wuhan,o3,385,0,55,25
3/2/2017,US,Houston,o3,117,6,45,32
3/2/2017,US,Los Angeles,o3,23,1,41,6
3/2/2017,CN,Shanghai,o3,213,4,47,32
3/2/2017,CN,Beijing,o3,446,1,48,15
3/3/2017,US,Houston,o3,120,1,52,32
3/3/2017,CN,Wuhan,o3,377,0,56,19
3/3/2017,CN,Beijing,o3,372,1,46,14
3/3/2017,CN,Shanghai,o3,208,6,57,35
3/3/2017,US,Manhattan,o3,24,28,32,31
3/3/2017,US,Los Angeles,o3,24,1,41,6
3/3/2017,US,Jacksonville,o3,48,1,22,15
3/4/2017,CN,Beijing,o3,433,1,55,18
3/4/2017,CN,Wuhan,o3,356,0,34,5
3/4/2017,CN,Shanghai,o3,211,4,59,35
3/4/2017,US,Los Angeles,o3,24,1,54,28
3/4/2017,US,Jacksonville,o3,43,1,23,20
3/4/2017,US,Houston,o3,115,10,39,29
3/4/2017,US,Manhattan,o3,24,25,32,29
3/5/2017,US,Los Angeles,o3,24,11,42,31
3/5/2017,US,Jacksonville,o3,45,2,23,22
3/5/2017,CN,Wuhan,o3,390,0,45,14
3/5/2017,US,Houston,o3,120,25,41,32
3/5/2017,US,Manhattan,o3,24,15,32,28
3/5/2017,CN,Beijing,o3,451,1,49,29
3/5/2017,CN,Shanghai,o3,214,2,42,18
3/6/2017,CN,Beijing,o3,423,1,47,18
3/6/2017,US,Los Angeles,o3,24,1,37,15
3/6/2017,CN,Wuhan,o3,390,0,71,20
3/6/2017,US,Jacksonville,o3,47,8,23,21
3/6/2017,US,Houston,o3,111,19,34,25
3/6/2017,US,Manhattan,o3,24,8,23,14
3/6/2017,CN,Shanghai,o3,211,15,54,41
3/7/2017,CN,Shanghai,o3,189,3,56,36
3/7/2017,US,Los Angeles,o3,24,1,42,6
3/7/2017,US,Jacksonville,o3,48,1,20,17
3/7/2017,US,Houston,o3,116,6,34,20
3/7/2017,CN,Beijing,o3,360,11,47,29
3/7/2017,US,Manhattan,o3,23,1,23,12
3/7/2017,CN,Wuhan,o3,344,0,62,36
3/8/2017,US,Jacksonville,o3,48,6,21,16
3/8/2017,US,Houston,o3,116,2,44,25
3/8/2017,CN,Shanghai,o3,208,9,55,34
3/8/2017,US,Los Angeles,o3,24,1,42,2
3/8/2017,CN,Wuhan,o3,377,1,62,29
3/8/2017,CN,Beijing,o3,438,1,55,27
3/8/2017,US,Manhattan,o3,19,2,37,33
3/9/2017,US,Houston,o3,120,6,38,20
3/9/2017,CN,Beijing,o3,290,1,54,15
3/9/2017,US,Manhattan,o3,24,23,41,33
3/9/2017,CN,Shanghai,o3,209,2,61,28
3/9/2017,CN,Wuhan,o3,364,0,64,23
3/9/2017,US,Los Angeles,o3,20,1,51,4
3/9/2017,US,Jacksonville,o3,48,0,25,9
3/10/2017,US,Los Angeles,o3,24,1,59,6
3/10/2017,CN,Wuhan,o3,383,1,51,28
3/10/2017,US,Houston,o3,118,1,30,15
3/10/2017,US,Manhattan,o3,24,21,34,29
3/10/2017,CN,Beijing,o3,259,1,55,9
3/10/2017,CN,Shanghai,o3,214,4,54,36
3/10/2017,US,Jacksonville,o3,46,2,21,14
3/11/2017,CN,Beijing,o3,122,1,50,25
3/11/2017,US,Manhattan,o3,24,28,32,30
3/11/2017,US,Houston,o3,111,1,29,17
3/11/2017,US,Los Angeles,o3,22,1,61,18
3/11/2017,US,Jacksonville,o3,48,8,22,19
3/11/2017,CN,Shanghai,o3,216,12,64,48
3/11/2017,CN,Wuhan,o3,343,0,54,4
3/12/2017,CN,Beijing,o3,129,11,50,32
3/12/2017,US,Manhattan,o3,24,20,31,28
3/12/2017,US,Houston,o3,115,7,31,19
3/12/2017,US,Los Angeles,o3,20,1,61,15
3/12/2017,US,Jacksonville,o3,47,4,20,17
3/12/2017,CN,Shanghai,o3,205,24,57,39
3/12/2017,CN,Wuhan,o3,355,0,56,11
3/13/2017,CN,Beijing,o3,92,1,52,20
3/13/2017,US,Los Angeles,o3,23,1,60,10
3/13/2017,CN,Wuhan,o3,385,0,48,28
3/13/2017,US,Jacksonville,o3,44,5,17,10
3/13/2017,US,Manhattan,o3,21,7,28,20
3/13/2017,CN,Shanghai,o3,210,34,50,45
3/13/2017,US,Houston,o3,97,1,32,12
3/14/2017,US,Houston,o3,118,1,39,21
3/14/2017,CN,Wuhan,o3,382,1,55,27
3/14/2017,US,Jacksonville,o3,48,4,15,11
3/14/2017,US,Los Angeles,o3,24,1,59,15
3/14/2017,CN,Shanghai,o3,211,14,55,39
3/14/2017,CN,Beijing,o3,76,1,39,17
3/14/2017,US,Manhattan,o3,24,23,32,25
3/15/2017,CN,Beijing,o3,253,1,56,10
3/15/2017,US,Houston,o3,112,1,47,25
3/15/2017,US,Los Angeles,o3,22,1,60,6
3/15/2017,US,Jacksonville,o3,48,11,20,15
3/15/2017,US,Manhattan,o3,24,24,32,30
3/15/2017,CN,Shanghai,o3,214,2,56,41
3/15/2017,CN,Wuhan,o3,383,1,38,21
3/16/2017,CN,Wuhan,o3,373,0,58,16
3/16/2017,US,Jacksonville,o3,45,6,22,15
3/16/2017,US,Manhattan,o3,24,23,41,33
3/16/2017,CN,Beijing,o3,285,1,52,11
3/16/2017,US,Los Angeles,o3,22,1,44,11
3/16/2017,US,Houston,o3,118,10,42,30
3/16/2017,CN,Shanghai,o3,199,4,54,42
3/17/2017,CN,Wuhan,o3,377,0,49,8
3/17/2017,US,Los Angeles,o3,21,1,63,15
3/17/2017,CN,Shanghai,o3,212,6,55,37
3/17/2017,US,Manhattan,o3,24,11,39,30
3/17/2017,US,Houston,o3,120,16,47,33
3/17/2017,US,Jacksonville,o3,45,0,27,17
3/17/2017,CN,Beijing,o3,450,1,56,16
3/18/2017,US,Manhattan,o3,24,4,36,25
3/18/2017,CN,Beijing,o3,390,1,66,30
3/18/2017,US,Houston,o3,116,1,55,25
